id,age,status,country,created_at
158,73,paid,US,2023-04-28 05:56:32.574906
159,53,free,US,2023-08-13 16:06:01.719571
160,70,free,IF,2023-01-11 17:03:28.536089
161,79,free,US,2023-12-21 19:59:22.468046
162,20,paid,BR,2023-03-09 04:59:37.2749
163,31,trial,US,2023-09-12 16:31:52.773655
164,48,free,BR,2023-08-19 09:08:47.408423
165,84,trial,US,2023-12-13 11:10:37.659737
166,82,trial,BR,2023-06-01 09:14:36.538963
167,94,free,US,2023-04-24 18:35:29.746694
168,31,paid,IF,2023-06-14 22:47:20.778625
169,22,free,US,2023-03-08 15:27:57.27378
170,71,free,BR,2023-12-12 04:16:34.999699
171,35,free,IF,2023-04-07 07:10:18.775757
172,21,free,IF,2023-12-14 17:32:28.807983
173,18,free,US,2023-02-14 00:20:45.108863
174,48,paid,US,2023-04-22 15:08:31.754777
175,31,free,BR,2023-01-24 12:41:18.997577
176,51,free,US,2023-10-24 11:42:56.46313
177,77,paid,BR,2023-07-21 19:38:01.726933
178,57,paid,BR,2023-06-18 19:29:51.058394
179,67,free,FR,2023-09-06 01:26:53.813345
180,58,free,US,2023-04-27 16:11:23.178152
181,73,free,FR,2023-10-30 04:06:50.783644
182,75,free,US,2023-02-11 03:55:00.314225
183,82,trial,US,2023-02-01 18:43:46.489313
184,75,free,US,2023-10-19 01:29:31.905889
185,92,paid,BR,2023-01-17 08:29:37.89254
186,73,free,BR,2023-02-09 09:33:10.861791
187,32,trial,US,2023-04-10 21:58:39.865879
188,57,free,BR,2023-06-19 11:48:11.354081
189,90,free,BR,2023-03-29 09:33:34.032118
190,21,free,BR,2023-03-02 11:07:44.607326
191,94,trial,FR,2023-02-13 12:45:02.911096
192,92,free,US,2023-09-01 10:21:11.034448
193,57,free,BR,2023-04-02 05:26:55.795341
194,42,trial,BR,2023-10-24 12:47:02.605057
195,64,paid,FR,2023-10-04 16:39:09.809641
196,42,paid,US,2023-06-16 15:16:33.949468
197,24,free,US,2023-04-30 20:21:24.408452
198,30,free,US,2023-01-09 16:03:59.141269
199,79,paid,US,2023-01-29 15:53:17.90172
200,79,free,US,2023-10-22 08:11:51.033757
201,66,free,US,2023-04-29 01:22:15.694488
202,34,free,BR,2023-02-16 09:50:29.295825
203,87,paid,BR,2023-04-27 07:17:19.04341
204,78,paid,US,2023-10-28 08:59:29.414651
205,28,trial,IF,2023-07-07 15:16:48.690772
206,33,free,US,2023-07-02 13:14:15.899063
207,38,trial,IF,2023-02-28 03:41:00.958023
208,53,free,US,2023-02-22 10:58:27.937132
209,45,paid,US,2023-10-18 03:02:12.011655
210,69,free,BR,2023-03-30 13:37:05.279236
211,84,free,US,2023-06-15 10:01:35.290846
212,47,paid,IF,2023-01-22 09:42:57.217934
213,42,free,US,2023-02-26 17:14:37.806695
214,68,free,US,2023-08-01 01:21:43.404976
215,65,paid,US,2023-03-13 01:37:59.916379
216,58,paid,US,2023-12-12 06:42:38.280574
217,33,free,US,2023-11-16 23:35:55.273785
218,46,free,US,2023-03-17 22:01:27.570134
219,74,free,BR,2023-02-17 09:24:55.606212
220,34,free,BR,2023-02-22 03:07:48.248146
221,91,free,BR,2023-11-05 00:56:57.661661
222,92,trial,IF,2023-02-06 18:26:27.250021
223,26,paid,US,2023-12-11 08:41:45.646738
224,77,free,US,2023-09-21 19:19:27.25063
225,81,free,US,2023-05-12 15:54:34.545611
226,37,free,US,2023-03-31 16:24:43.413003
227,65,paid,US,2023-08-19 01:22:32.363185
228,64,paid,IF,2023-11-11 14:53:33.302365
229,50,free,US,2023-09-13 00:19:10.717436
230,96,paid,US,2023-08-20 09:13:28.646005
231,51,trial,BR,2023-12-18 19:44:01.674702
232,32,trial,US,2023-11-11 12:17:39.843933
233,96,free,BR,2023-01-17 23:16:38.237671
234,62,free,BR,2023-05-01 14:43:01.756534
235,68,free,US,2023-05-18 16:24:37.77989
236,56,free,IF,2023-09-19 05:11:33.028014
237,21,free,US,2023-01-21 09:31:18.549178
238,66,paid,FR,2023-07-09 20:49:41.301239
239,41,free,BR,2023-06-27 19:45:11.333933
240,76,free,US,2023-11-12 05:26:06.933047
241,94,free,US,2023-05-16 03:24:10.811032
242,79,trial,BR,2023-02-26 02:38:05.47902
243,27,free,BR,2023-07-10 18:51:14.395106
244,33,free,US,2023-12-09 02:21:48.931524
245,57,free,BR,2023-03-17 03:30:40.902149
246,52,paid,FR,2023-09-24 23:35:33.836242
247,94,trial,BR,2023-09-15 07:31:16.402968
248,54,free,US,2023-01-23 14:43:42.161525
249,83,free,BR,2023-01-04 09:30:46.521419
250,61,free,US,2023-06-28 13:25:09.80934
251,20,paid,US,2023-07-26 00:31:29.142883
252,54,free,US,2023-07-07 15:32:59.887563
253,42,free,US,2023-11-10 12:46:13.293532
254,64,free,US,2023-12-07 03:33:11.532787
255,45,trial,BR,2023-01-02 14:32:22.0162
256,42,trial,US,2023-03-08 16:26:49.307707
257,66,free,US,2023-12-18 21:58:15.678542
258,71,trial,BR,2023-06-08 17:27:40.700047
259,98,paid,BR,2023-04-10 10:02:11.882233
260,29,free,US,2023-03-20 01:39:41.150618
261,69,trial,US,2023-10-13 03:18:53.677822
262,88,free,BR,2023-09-20 20:34:42.00629
263,89,paid,BR,2023-05-12 14:32:36.277334
264,56,trial,BR,2023-01-20 08:23:08.759692
265,20,free,IF,2023-02-28 16:06:33.252071
266,76,free,US,2023-07-09 01:52:51.00528
267,56,free,FR,2023-03-08 06:49:25.415022
268,77,free,BR,2023-04-27 02:01:03.534974
269,30,free,US,2023-03-02 07:25:57.654726
270,50,trial,BR,2023-08-22 11:29:03.901299
271,50,paid,BR,2023-09-29 23:23:34.425367
272,41,paid,US,2023-08-21 13:40:47.115208
273,32,free,US,2023-11-06 06:07:45.016065
274,70,trial,US,2023-08-06 20:32:52.18917
275,97,trial,BR,2023-01-25 13:20:34.288229
276,26,free,US,2023-04-28 21:05:15.663164
277,65,free,IF,2023-01-29 21:47:47.043815
278,98,free,BR,2023-02-24 12:31:36.302291
279,74,paid,US,2023-07-17 21:05:44.232476
280,82,trial,BR,2023-10-13 15:50:40.56311
281,57,free,US,2023-10-09 05:19:21.723705
282,57,free,US,2023-08-25 22:38:17.574797
283,49,free,US,2023-10-03 08:16:57.836119
284,87,free,US,2023-01-11 06:06:55.582317
285,79,free,US,2023-06-12 15:16:49.500065
286,22,paid,BR,2023-09-14 13:38:58.865763
287,89,free,FR,2023-10-02 01:24:22.705236
288,81,trial,US,2023-01-17 13:16:31.220652
289,21,free,US,2023-02-28 05:22:45.070637
290,31,paid,IF,2023-03-29 15:56:19.522496
291,25,trial,BR,2023-10-18 03:18:50.827894
292,31,free,US,2023-08-12 04:47:10.429635
293,41,free,US,2023-02-04 06:25:43.87894
294,50,free,US,2023-09-14 06:48:59.659226
295,61,free,US,2023-03-24 06:47:44.925561
296,40,free,US,2023-02-24 16:56:40.189328
297,21,paid,BR,2023-09-19 16:47:19.214557
298,37,trial,IF,2023-08-08 11:53:38.320273
299,40,trial,US,2023-11-24 23:26:58.983619
300,92,free,BR,2023-01-10 16:32:08.286642
301,65,free,BR,2023-12-09 08:53:49.326859
302,71,free,BR,2023-03-03 16:56:23.381678
303,95,free,US,2023-01-27 05:38:41.638464
304,56,trial,US,2023-04-30 19:39:25.031142
305,93,trial,US,2023-06-13 05:29:34.90785
306,88,paid,US,2023-07-07 16:52:22.119062
307,44,paid,US,2023-08-24 21:48:29.691559
308,95,free,US,2023-09-14 00:31:43.214179
309,60,free,US,2023-12-28 05:59:16.137045
310,31,paid,IF,2023-01-16 13:52:53.748399
311,46,free,BR,2023-04-01 03:57:49.069867
312,67,trial,US,2023-10-18 05:42:24.277907
313,67,paid,BR,2023-05-05 11:08:59.021134
314,81,free,BR,2023-07-05 19:02:44.912203
315,50,paid,US,2023-04-07 22:58:08.566522
316,56,free,US,2023-11-07 14:48:03.776485
317,96,free,IF,2023-01-21 03:39:16.368292
318,31,free,IF,2023-04-05 10:03:37.456692
319,67,paid,BR,2023-02-04 17:03:57.89311
320,85,free,US,2023-09-17 18:42:44.352505
321,54,free,BR,2023-02-06 23:22:30.853157
322,79,paid,FR,2023-04-26 05:59:03.442624
323,90,free,BR,2023-09-30 10:21:59.728753
324,85,free,BR,2023-04-12 20:50:46.542859
325,28,free,BR,2023-03-26 16:04:59.698198
326,31,free,BR,2023-01-16 06:41:39.887783
327,25,trial,BR,2023-07-23 07:02:56.505484
328,66,paid,IF,2023-06-25 22:27:21.077416
329,25,trial,BR,2023-02-26 13:10:13.605973
330,23,free,US,2023-03-30 19:54:30.789143
331,29,free,US,2023-01-01 13:54:11.854207
332,71,free,US,2023-02-08 04:24:14.549665
333,34,free,US,2023-03-18 21:16:52.028418
334,89,paid,US,2023-09-01 18:09:17.566541
335,21,free,BR,2023-04-30 06:45:33.963472
336,26,trial,BR,2023-01-14 17:38:03.052632
337,95,trial,US,2023-08-09 16:49:28.099075
338,81,paid,US,2023-02-15 15:53:07.172147
339,24,free,US,2023-12-03 13:25:24.268328
340,21,free,BR,2023-08-27 21:09:51.118741
341,62,free,IF,2023-11-26 21:13:23.745287
342,38,free,US,2023-07-24 13:19:51.727504
343,19,trial,US,2023-09-17 07:57:26.092511
344,43,free,IF,2023-04-08 05:37:33.360195
345,58,free,BR,2023-07-25 11:42:21.921021
346,27,free,US,2023-10-01 03:18:19.149243
347,43,free,IF,2023-02-01 02:50:48.05224
348,92,paid,US,2023-07-19 05:20:23.114471
349,39,free,BR,2023-01-11 19:05:01.65146
350,82,trial,IF,2023-01-14 12:41:02.907448
351,56,paid,US,2023-10-13 02:05:23.736813
352,18,free,US,2023-10-15 14:17:38.691374
353,47,paid,US,2023-02-25 23:08:25.653122
354,31,free,IF,2023-07-08 12:07:05.62021
355,32,free,US,2023-05-12 02:15:09.872477
356,84,paid,US,2023-01-15 05:14:26.903946
357,33,paid,BR,2023-08-05 20:33:32.021613
358,28,free,BR,2023-12-10 10:08:06.560294
359,69,paid,BR,2023-06-12 02:16:20.151614
360,48,free,BR,2023-07-23 14:37:32.587365
361,35,trial,BR,2023-04-10 23:47:10.723202
362,48,free,BR,2023-07-12 20:29:48.566503
363,29,free,US,2023-01-06 02:07:00.589841
364,70,free,US,2023-08-03 03:50:46.67881
365,34,paid,FR,2023-11-10 15:15:02.10537
366,30,free,FR,2023-05-21 03:08:59.242628
367,79,free,US,2023-03-29 02:21:31.584757
368,33,paid,IF,2023-06-20 01:51:42.938778
369,48,free,US,2023-05-09 10:46:07.356124
370,60,trial,BR,2023-07-13 01:23:29.703538
371,67,free,BR,2023-05-06 16:25:46.73258
372,75,trial,BR,2023-02-13 13:26:17.114231
373,90,free,US,2023-03-30 23:06:32.707355
374,68,paid,US,2023-12-15 01:07:24.33527
375,88,free,BR,2023-03-23 14:17:32.315056
376,23,free,US,2023-12-28 07:52:37.238819
377,86,free,BR,2023-02-16 14:59:12.422916
378,62,trial,FR,2023-09-03 05:56:48.129766
379,84,free,US,2023-01-07 12:24:54.212307
380,36,trial,BR,2023-12-14 17:40:35.418585
381,96,free,BR,2023-07-06 05:21:49.105879
382,78,free,BR,2023-03-27 06:49:42.336064
383,32,free,US,2023-03-18 07:48:11.289104
384,93,free,US,2023-10-11 14:32:57.845477
385,72,free,IF,2023-01-09 20:58:10.409176
386,47,free,US,2023-06-18 21:38:58.312839
387,20,free,BR,2023-10-12 12:32:42.589206
388,36,free,US,2023-03-26 11:40:04.632706
389,41,free,BR,2023-06-05 14:35:35.547618
390,79,free,FR,2023-11-22 23:06:40.482277
391,30,free,FR,2023-06-21 12:21:27.840953
392,58,trial,US,2023-04-13 05:06:47.097503
393,81,trial,IF,2023-07-21 06:04:10.501041
394,37,free,US,2023-09-26 12:28:45.306785
395,88,trial,US,2023-05-20 03:46:28.067898
396,24,free,US,2023-12-05 18:38:51.879287
397,83,free,IF,2023-10-26 16:57:36.466506
398,62,paid,US,2023-06-07 00:39:42.775493
399,72,free,US,2023-01-19 07:22:32.521181
400,32,paid,BR,2023-03-05 11:00:13.593883
401,42,free,IF,2023-03-28 05:36:33.985274
402,66,paid,US,2023-08-14 16:49:18.415072
403,93,paid,US,2023-12-03 21:18:42.467558
404,88,free,BR,2023-10-28 16:24:00.541466
405,94,free,US,2023-06-23 16:58:36.17176
406,36,free,BR,2023-02-24 14:25:59.309775
407,50,free,IF,2023-05-17 15:23:03.468822
408,96,paid,BR,2023-01-18 04:01:40.711255
409,26,paid,BR,2023-04-15 08:08:31.262491
410,20,free,US,2023-10-11 00:53:29.678244
411,61,free,US,2023-01-04 01:36:13.450246
412,74,paid,BR,2023-09-21 17:34:15.572627
413,64,free,US,2023-03-07 04:56:41.451526
414,62,free,US,2023-02-26 13:53:30.28669
415,94,free,US,2023-09-26 04:11:20.196795
416,20,paid,BR,2023-12-06 01:36:58.744682
417,76,trial,US,2023-09-02 11:23:42.074486
418,75,paid,US,2023-12-18 20:50:09.82269
419,22,paid,US,2023-05-06 08:25:32.375552
420,65,free,BR,2023-08-17 05:28:56.443776
421,38,free,BR,2023-04-25 07:31:44.573518
422,57,free,IF,2023-10-23 23:11:56.675399
423,60,free,US,2023-06-28 12:30:16.021025
424,54,free,US,2023-01-17 01:25:56.917119
425,50,free,US,2023-03-28 19:12:02.921266
426,83,free,US,2023-11-01 18:57:50.947946
427,55,paid,IF,2023-09-25 18:17:31.656696
428,45,free,IF,2023-04-06 00:24:21.6797
429,43,free,US,2023-08-19 21:00:19.33221
430,57,trial,US,2023-07-07 14:31:42.246843
431,43,free,BR,2023-11-09 22:07:20.537312
432,80,free,US,2023-08-29 10:15:39.225943
433,64,free,BR,2023-07-07 16:01:05.548411
434,95,free,BR,2023-04-30 09:27:27.763154
435,62,free,US,2023-03-26 04:11:48.785681
436,65,trial,BR,2023-11-26 06:18:10.148334
437,92,free,BR,2023-01-18 18:30:42.300357
438,51,paid,US,2023-07-26 17:50:05.350274
439,71,free,US,2023-04-17 15:56:12.678812
440,74,free,IF,2023-03-26 10:30:24.135566
441,48,free,US,2023-02-26 01:18:51.955394
442,45,free,US,2023-10-21 18:26:21.031169
443,95,free,BR,2023-05-10 01:14:25.08393
444,72,free,BR,2023-03-26 20:04:44.543636
445,63,free,BR,2023-06-03 02:12:55.752859
446,26,free,BR,2023-02-19 14:51:11.216416
447,19,free,US,2023-11-25 13:15:38.343977
448,52,paid,US,2023-07-04 12:22:56.638382
449,53,free,US,2023-11-03 08:51:07.911617
450,25,paid,BR,2023-10-23 00:01:00.141216
451,79,free,BR,2023-07-02 06:54:01.717878
452,98,free,US,2023-07-16 23:38:48.909501
453,26,free,BR,2023-07-25 17:01:44.170509
454,88,free,US,2023-04-30 15:42:49.401103
455,45,free,US,2023-09-28 12:19:19.101202
456,58,free,FR,2023-05-05 13:31:18.489681
457,67,trial,BR,2023-10-20 06:41:09.854005
458,43,free,US,2023-09-19 04:52:16.981917
459,89,free,US,2023-03-21 15:48:54.471892
460,36,trial,BR,2023-04-09 20:55:24.440607
461,96,free,BR,2023-06-06 13:13:35.644093
462,78,free,US,2023-04-15 07:58:43.507439
463,23,free,BR,2023-10-14 01:56:33.320937
464,94,free,US,2023-03-21 11:24:25.817797
465,97,free,US,2023-04-22 09:29:47.912842
466,76,trial,BR,2023-07-25 21:11:27.1518
467,35,trial,US,2023-03-23 15:23:23.438993
468,56,trial,FR,2023-07-11 22:49:01.402295
469,64,free,BR,2023-06-08 18:04:59.822547
470,51,free,US,2023-09-19 14:06:31.238458
471,78,paid,IF,2023-07-15 18:34:01.750992
472,94,free,US,2023-06-17 11:53:50.265101
473,84,free,IF,2023-12-22 08:20:13.887644
474,27,free,BR,2023-03-31 01:39:12.578018
475,31,free,US,2023-03-08 04:47:42.328861
476,35,free,BR,2023-06-15 03:47:37.440692
477,35,free,IF,2023-04-10 14:27:38.1513
478,81,free,IF,2023-08-12 05:06:19.234101
479,32,free,BR,2023-02-25 01:27:47.804708
480,68,free,US,2023-08-23 20:34:15.24726
481,38,free,US,2023-10-25 19:03:48.596887
482,77,free,US,2023-03-08 02:20:02.520939
483,79,free,BR,2023-07-26 05:48:32.306916
484,69,trial,US,2023-10-05 11:08:32.89069
485,60,free,IF,2023-09-28 18:14:11.579042
486,43,free,US,2023-09-23 00:33:47.709655
487,26,free,US,2023-04-09 06:25:36.154044
488,46,free,US,2023-11-08 03:52:11.673429
489,39,free,BR,2023-03-05 18:14:45.98304
490,21,free,BR,2023-12-10 21:20:56.185604
491,27,trial,US,2023-09-23 06:38:59.607266
492,67,free,FR,2023-08-03 23:27:47.46008
493,62,free,US,2023-02-25 07:31:40.676307
494,39,free,US,2023-11-05 09:15:41.685759
495,83,free,FR,2023-01-07 05:43:56.280891
496,91,free,IF,2023-05-05 02:14:02.47033
497,58,free,US,2023-01-29 18:54:44.144091
498,27,free,US,2023-08-25 20:56:23.814029
499,86,free,US,2023-02-26 07:04:10.460149
500,74,free,BR,2023-09-11 01:12:08.779613
501,18,free,US,2023-03-23 00:42:22.182627
502,71,free,BR,2023-03-29 00:34:18.692289
503,62,trial,BR,2023-11-21 03:32:22.465997
504,65,free,US,2023-06-16 11:19:54.410735
505,96,trial,FR,2023-09-04 08:00:21.825986
506,47,free,BR,2023-05-22 13:05:33.365019
507,41,paid,US,2023-09-15 19:19:38.660907
508,72,free,US,2023-11-12 23:08:32.378947
509,45,trial,US,2023-07-19 03:17:38.197007
510,32,paid,BR,2023-07-14 07:14:16.479843
511,37,free,IF,2023-01-25 07:42:35.004423
512,86,trial,US,2023-09-23 08:22:57.040852
513,82,free,US,2023-12-13 14:45:49.935704
514,59,paid,US,2023-09-06 05:57:20.736858
515,62,paid,US,2023-10-27 11:16:35.585732
516,20,free,BR,2023-08-27 18:43:20.509646
517,70,free,US,2023-12-30 10:24:20.845543
518,67,trial,BR,2023-05-07 18:33:09.633639
519,44,paid,US,2023-07-12 15:48:02.075078
520,24,free,US,2023-11-18 04:00:29.278616
521,32,free,BR,2023-07-29 17:02:21.084512
522,78,paid,BR,2023-12-18 14:25:50.676865
523,22,free,BR,2023-05-22 14:34:03.976813
524,58,trial,US,2023-05-07 17:13:47.799326
525,45,free,BR,2023-11-04 12:58:35.659132
526,53,trial,US,2023-07-16 10:33:33.177746
527,77,free,US,2023-05-23 03:20:16.745375
528,60,free,BR,2023-09-27 04:32:29.691258
529,18,free,US,2023-03-15 14:40:06.549455
530,65,free,BR,2023-04-21 15:14:06.623468
531,84,free,FR,2023-04-07 21:44:35.927932
532,46,free,BR,2023-03-28 10:23:51.10608
533,88,free,US,2023-08-16 14:25:15.22759
534,44,free,BR,2023-07-15 01:44:28.040543
535,27,free,US,2023-10-23 10:49:16.760712
536,57,free,US,2023-11-10 07:21:33.436201
537,35,free,BR,2023-10-17 06:51:02.41789
538,25,free,US,2023-07-28 13:31:21.130791
539,94,paid,FR,2023-01-20 02:46:24.593299
540,38,free,US,2023-10-07 00:29:05.201847
541,53,trial,US,2023-11-24 14:31:55.08262
542,82,free,US,2023-08-20 02:45:14.80191
543,19,free,IF,2023-01-27 00:24:43.922691
544,69,free,BR,2023-11-02 20:39:42.96525
545,44,free,US,2023-05-10 06:02:08.379285
546,75,free,BR,2023-12-29 04:26:29.5409
547,93,paid,US,2023-10-26 05:33:08.595901
548,59,free,US,2023-08-14 11:18:27.785709
549,76,free,BR,2023-03-25 12:17:20.513437
550,80,free,US,2023-02-02 09:29:49.709963
551,73,free,US,2023-01-02 06:17:02.734098
552,94,free,US,2023-08-10 06:17:45.098351
553,48,trial,US,2023-12-29 22:39:49.500891
554,93,free,IF,2023-03-31 05:37:54.500677
555,61,trial,BR,2023-10-28 09:35:19.708443
556,46,free,US,2023-10-04 20:24:07.155144
557,21,trial,BR,2023-04-28 21:10:52.647437
558,96,paid,BR,2023-04-27 22:44:40.918814
559,82,free,US,2023-11-29 15:42:39.862705
560,39,free,US,2023-08-11 09:21:46.027865
561,54,free,BR,2023-03-06 04:33:00.367664
562,24,free,US,2023-06-12 08:36:11.220879
